Branch,Day,Period1,Period2,Break,Period3,Period4,Period5
A1,Monday,KMS-PY-2-406-7,KMS-PY-2-406-7,RECESS,UMS-COA-301,UMS-COA-301,PSK-DM-301
A1,Tuesday,PHA-FSD-2-406-7,PHA-FSD-2-406-7,RECESS,DPP-TOC-301,DPP-TOC-301,
A1,Wednesday,PSK-DM-301,PSK-DM-301,RECESS,KMS-PY-2-406-7,KMS-PY-2-406-7,
A1,Thursday,UMS-COA-301,UMS-COA-301,RECESS,PHA-FSD-2-406-7,PHA-FSD-2-406-7,
A1,Friday,DPP-TOC-301,DPP-TOC-301,RECESS,KMS-PY-2-406-7,KMS-PY-2-406-7,UMS-COA-301
A1,Saturday,PHA-FSD-2-406-7,PHA-FSD-2-406-7,RECESS,PSK-DM-301,PSK-DM-301,
A2,Monday,UMM-COA-301,UMM-COA-301,RECESS,DPB-FSD-2-406-7,DPB-FSD-2-406-7,
A2,Tuesday,DAM-TOC-301,DAM-TOC-301,RECESS,MVP-PY-2-406-7,MVP-PY-2-406-7,UMM-COA-301
A2,Wednesday,DPB-FSD-2-406-7,DPB-FSD-2-406-7,RECESS,DAM-TOC-301,DAM-TOC-301,MGV-DM-301
A2,Thursday,MVP-PY-2-406-7,MVP-PY-2-406-7,RECESS,MGV-DM-301,MGV-DM-301,
A2,Friday,MVP-PY-2-406-7,MVP-PY-2-406-7,RECESS,UMM-COA-301,UMM-COA-301,
A2,Saturday,MGV-DM-301,MGV-DM-301,RECESS,DPB-FSD-2-406-7,DPB-FSD-2-406-7,
A3,Monday,UMS-COA-302,UMS-COA-302,RECESS,DVP-PY-2-408-A,DVP-PY-2-408-A,
A3,Tuesday,DKU-FSD-2-408-A,DKU-FSD-2-408-A,RECESS,PSK-DM-302,PSK-DM-302,UMS-COA-302
A3,Wednesday,DVP-PY-2-408-A,DVP-PY-2-408-A,RECESS,RHG-TOC-302,RHG-TOC-302,
A3,Thursday,PSK-DM-302,PSK-DM-302,RECESS,DKU-FSD-2-408-A,DKU-FSD-2-408-A,
A3,Friday,DVP-PY-2-408-A,DVP-PY-2-408-A,RECESS,UMS-COA-302,UMS-COA-302,PSK-DM-302
A3,Saturday,RHG-TOC-302,RHG-TOC-302,RECESS,DKU-FSD-2-408-A,DKU-FSD-2-408-A,
A4,Monday,PHA-FSD-2-408-A,PHA-FSD-2-408-A,RECESS,MGV-DM-302,MGV-DM-302,
A4,Tuesday,DPP-TOC-302,DPP-TOC-302,RECESS,KMS-PY-2-408-A,KMS-PY-2-408-A,
A4,Wednesday,UMM-COA-302,UMM-COA-302,RECESS,PHA-FSD-2-408-A,PHA-FSD-2-408-A,
A4,Thursday,KMS-PY-2-408-A,KMS-PY-2-408-A,RECESS,UMM-COA-302,UMM-COA-302,MGV-DM-302
A4,Friday,MGV-DM-302,MGV-DM-302,RECESS,PHA-FSD-2-408-A,PHA-FSD-2-408-A,
A4,Saturday,KMS-PY-2-408-A,KMS-PY-2-408-A,RECESS,DPP-TOC-302,DPP-TOC-302,
A5,Monday,RHG-TOC-310,RHG-TOC-310,RECESS,PSK-DM-310,PSK-DM-310,
A5,Tuesday,MVP-PY-2-406-2,MVP-PY-2-406-2,RECESS,DPB-FSD-2-406-2,DPB-FSD-2-406-2,PSK-DM-310
A5,Wednesday,MVP-PY-2-406-2,MVP-PY-2-406-2,RECESS,UMS-COA-310,UMS-COA-310,
A5,Thursday,DPB-FSD-2-406-2,DPB-FSD-2-406-2,RECESS,RHG-TOC-310,RHG-TOC-310,UMS-COA-310
